iter	Passed	Remaining
0	142	42734
1	147	21941
2	151	14992
3	156	11545
4	160	9440
5	164	8056
6	169	7078
7	173	6319
8	176	5721
9	180	5235
10	184	4850
11	189	4537
12	192	4256
13	196	4016
14	199	3798
15	205	3639
16	208	3473
17	212	3324
18	215	3190
19	221	3098
20	225	2993
21	229	2896
22	232	2803
23	237	2731
24	240	2648
25	244	2578
26	248	2509
27	252	2453
28	257	2402
29	260	2346
30	264	2292
31	268	2247
32	271	2196
33	274	2149
34	277	2103
35	281	2063
36	285	2026
37	288	1989
38	292	1956
39	295	1923
40	300	1896
41	304	1868
42	307	1839
43	311	1812
44	316	1794
45	321	1774
46	325	1751
47	329	1728
48	333	1707
49	337	1685
50	341	1664
51	344	1641
52	348	1626
53	353	1610
54	356	1588
55	359	1567
56	364	1555
57	368	1536
58	372	1521
59	376	1504
60	380	1490
61	383	1473
62	387	1456
63	392	1446
64	396	1434
65	400	1419
66	404	1405
67	407	1390
68	411	1377
69	414	1363
70	418	1351
71	423	1341
72	428	1333
73	433	1323
74	437	1312
75	442	1304
76	447	1296
77	452	1288
78	457	1280
79	467	1286
80	472	1277
81	477	1268
82	482	1260
83	486	1251
84	491	1243
85	496	1234
86	500	1226
87	505	1217
88	512	1215
89	516	1205
90	520	1196
91	526	1189
92	530	1180
93	534	1172
94	541	1167
95	548	1164
96	552	1155
97	557	1148
98	562	1141
99	566	1132
100	570	1123
101	574	1115
102	578	1106
103	588	1109
104	592	1100
105	597	1092
106	601	1084
107	606	1078
108	610	1070
109	615	1062
110	624	1063
111	628	1054
112	633	1048
113	638	1042
114	642	1033
115	646	1026
116	651	1019
117	656	1013
118	662	1007
119	667	1001
120	676	1001
121	681	993
122	685	986
123	689	979
124	693	971
125	697	963
126	702	956
127	706	949
128	713	946
129	719	940
130	723	933
131	727	926
132	732	919
133	737	913
134	741	906
135	745	899
136	751	893
137	755	886
138	759	879
139	764	873
140	768	867
141	774	861
142	778	854
143	783	848
144	787	841
145	791	835
146	796	828
147	802	823
148	806	817
149	811	811
150	816	806
151	820	799
152	825	792
153	830	787
154	834	780
155	838	774
156	843	768
157	852	766
158	857	760
159	862	754
160	868	749
161	873	743
162	877	737
163	882	732
164	887	726
165	891	719
166	896	713
167	900	707
168	904	700
169	907	694
170	913	688
171	917	682
172	922	677
173	926	670
174	930	664
175	933	658
176	937	651
177	942	645
178	947	640
179	951	634
180	955	628
181	959	622
182	962	615
183	965	608
184	969	602
185	973	596
186	983	594
187	990	589
188	996	585
189	1000	579
190	1004	573
191	1009	567
192	1013	561
193	1018	556
194	1022	550
195	1029	546
196	1033	540
197	1037	534
198	1044	530
199	1048	524
200	1060	522
201	1065	516
202	1068	510
203	1073	505
204	1079	500
205	1084	494
206	1087	488
207	1091	482
208	1094	476
209	1098	470
210	1102	464
211	1106	459
212	1109	453
213	1113	447
214	1116	441
215	1119	435
216	1124	430
217	1128	424
218	1131	418
219	1135	412
220	1139	407
221	1143	401
222	1146	395
223	1150	390
224	1153	384
225	1156	378
226	1159	372
227	1163	367
228	1166	361
229	1170	356
230	1173	350
231	1177	345
232	1180	339
233	1183	333
234	1188	328
235	1191	323
236	1195	317
237	1198	312
238	1201	306
239	1205	301
240	1209	296
241	1213	290
242	1217	285
243	1221	280
244	1225	275
245	1229	269
246	1232	264
247	1236	259
248	1239	253
249	1242	248
250	1246	243
251	1249	238
252	1252	232
253	1256	227
254	1259	222
255	1262	217
256	1265	211
257	1269	206
258	1272	201
259	1275	196
260	1279	191
261	1283	186
262	1287	181
263	1290	176
264	1293	170
265	1297	165
266	1304	161
267	1309	156
268	1315	151
269	1319	146
270	1324	141
271	1328	136
272	1334	131
273	1339	127
274	1343	122
275	1349	117
276	1352	112
277	1356	107
278	1359	102
279	1367	97
280	1372	92
281	1376	87
282	1387	83
283	1392	78
284	1397	73
285	1402	68
286	1406	63
287	1413	58
288	1417	53
289	1422	49
290	1426	44
291	1432	39
292	1436	34
293	1443	29
294	1448	24
295	1456	19
296	1461	14
297	1466	9
298	1470	4
299	1475	0
